Jurisdiction of Occurrence,Week ,All Cause
Indiana,32,"1,600"
Indiana,33,"1,655"
Indiana,34,"1,721"
Indiana,35,"1,936"
Indiana,36,"2,015"
Indiana,37,"1,943"
Indiana,38,"2,119"
Indiana,39,"2,060"
Indiana,40,"2,010"
Indiana,41,"2,044"
Indiana,42,"1,966"
Indiana,43,"1,907"
Indiana,44,"1,781"
Indiana,45,"1,619"
Indiana,46,"1,603"
Indiana,47,"1,496"
Indiana,48,"1,456"
Indiana,49,"1,429"
Indiana,50,"1,401"
Indiana,51,"1,365"
Indiana,52,"1,293"
Indiana,53,"1,285"
Indiana,54,"1,265"
Indiana,55,"1,346"
Indiana,56,"1,365"
Indiana,57,"1,252"
Indiana,58,"1,317"
Indiana,59,"1,261"
Indiana,60,"1,218"
Indiana,61,"1,250"
Indiana,62,"1,192"
Indiana,63,"1,169"
Indiana,64,964
Indiana,65,638
Iowa,-11,665
Iowa,-10,647
Iowa,-9,620
Iowa,-8,640
Iowa,-7,615
Iowa,-6,637
Iowa,-5,600
Iowa,-4,643
Iowa,-3,642
Iowa,-2,624
Iowa,-1,636
Iowa,0,598
Iowa,1,595
Iowa,2,608
Iowa,3,597
Iowa,4,633
Iowa,5,587
Iowa,6,673
Iowa,7,702
Iowa,8,674
Iowa,9,619
Iowa,10,632
Iowa,11,600
Iowa,12,589
Iowa,13,575
Iowa,14,552
Iowa,15,596
Iowa,16,567
Iowa,17,601
Iowa,18,651
Iowa,19,650
Iowa,20,649
Iowa,21,669
Iowa,22,625
Iowa,23,691
Iowa,24,597
Iowa,25,637
Iowa,26,642
Iowa,27,641
Iowa,28,680
Iowa,29,733
Iowa,30,688
Iowa,31,750
Iowa,32,759
Iowa,33,860
Iowa,34,905
Iowa,35,998
Iowa,36,976
Iowa,37,"1,002"
Iowa,38,950
Iowa,39,864
Iowa,40,834
Iowa,41,741
Iowa,42,798
Iowa,43,753
Iowa,44,745
Iowa,45,643
Iowa,46,648
Iowa,47,607
Iowa,48,657
Iowa,49,584
Iowa,50,616
Iowa,51,557
Iowa,52,500
Iowa,53,561
Iowa,54,569
Iowa,55,621
Iowa,56,564
Iowa,57,605
Iowa,58,622
Iowa,59,553
Iowa,60,537
Iowa,61,510
Iowa,62,530
Iowa,63,498
Iowa,64,471
Iowa,65,348
Kansas,-11,591
Kansas,-10,560
Kansas,-9,576
Kansas,-8,571
Kansas,-7,549
Kansas,-6,503
Kansas,-5,575
Kansas,-4,559
Kansas,-3,548
Kansas,-2,575
Kansas,-1,522
Kansas,0,515
Kansas,1,523
Kansas,2,550
Kansas,3,525
Kansas,4,546
Kansas,5,541
Kansas,6,526
Kansas,7,507
Kansas,8,530
Kansas,9,520
Kansas,10,506
Kansas,11,499
Kansas,12,516
Kansas,13,508
Kansas,14,521
Kansas,15,562
Kansas,16,504
Kansas,17,518
Kansas,18,540
Kansas,19,543
